Work Order,Description,Work Type,Location
WDW1135433,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135432,Interior lighting equipment - Saloon emergency lighting - Inspect,CM,707024
WDW1135431,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135430,Drivers seat - Pivot adapter and height adjustment system - Service,CM,707024
WDW1135429,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135428,Floor - Cab foot rest - Function test,CM,707024
WDW1135427,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135426,Vehicle fitting out - Cab back wall door - Service,CM,707024
WDW1135425,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135424,Complete vehicle - E-cabinets including bonding connections - Inspect,CM,707024
WDW1135423,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135422,External doors - Saloon doors - Inspect,CM,707024
WDW1135421,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135420,Complete vehicle - Post works interior - Examine,CM,707024
WDW1135419,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135418,Complete vehicle - Post works exterior - Examine,CM,707024
WDW1135417,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135416,Vehicle body - Car body - Inspect,CM,707024
WDW1135415,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135414,External doors - Cab door - Inspect,CM,707024
WDW1135413,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135412,Vehicle linkage devices - Automatic coupler - Service,CM,707024
WDW1135411,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135410,SC_Power dissipation - Low resistance equipotential bonding - Examine,CM,707024
WDW1135409,"BLOCK_02 - Couplers, Exam B23C",CM,707024
WDW1135408,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135407,Visual information facilities - Communications - Passenger Information System - Function Test,CM,707024
WDW1135406,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135405,SC_Safety Systems - AWS examine,CM,707024
WDW1135404,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135403,Passenger counting device - Inspection - Function Test,CM,707024
WDW1135402,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135401,"Indicating, recording, display devices - Smoke detectors - Function Test",CM,707024
WDW1135400,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135399,Safety systems - Smoke detectors - Clean and inspect,CM,707024
WDW1135398,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135397,Bogies - Wheel flange lubrication - Functional test,CM,707024
WDW1135396,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135395,Floor - DSD - Function test and clean,CM,707024
WDW1135394,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135393,Interior lighting equipment - Saloon emergency lighting - Inspect,CM,707024
WDW1135392,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135391,Drivers seat - Pivot adapter and height adjustment system - Service,CM,707024
WDW1135390,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135389,Floor - Cab foot rest - Function test,CM,707024
WDW1135388,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135387,Vehicle fitting out - Cab back wall door - Service,CM,707024
WDW1135386,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135385,Complete vehicle - E-cabinets including bonding connections - Inspect,CM,707024
WDW1135384,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135383,External doors - Saloon doors - Inspect,CM,707024
WDW1135382,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135381,Complete vehicle - Post works interior - Examine,CM,707024
WDW1135380,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135379,Complete vehicle - Post works exterior - Examine,CM,707024
WDW1135378,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135377,Vehicle body - Car body - Inspect,CM,707024
WDW1135376,The work instruction for this task is on the Maintenance Portal,CM,707024
WDW1135375,External doors - Cab door - Inspect,CM,707024
WDW1135374,The work instruction for this task is on the Maintenance Portal,CM,707024
